"","id","originalTags","name","network","cnRef","sumLengthsKm","rating"
"1135",2893956,"designation=Ride the Clwyds	mtb:type=crosscountry	name=Ride the Clwyds	ref=Around the Lake	route=mtb	source=GPS & Bing	type=route","Ride the Clwyds",NA,"Around the Lake","0","neutral"
"1136",2893997,"designation=Ride the Clwyds	mtb:type=crosscountry	name=Ride the Clwyds	ref=Up to the Lake	route=mtb	source=GPS & Bing	type=route","Ride the Clwyds",NA,"Up to the Lake","0","neutral"
"1137",2894908,"network=ncn	ref=887	route=bicycle	type=route","National cycle network 887","ncn","887","18","continuous"
"1138",2894951,"designation=Ride the Clwyds	mtb:type=crosscountry	name=Ride the Clwyds	ref=Cilcain Short	route=mtb	source=GPS & Bing	type=route","Ride the Clwyds",NA,"Cilcain Short","0","neutral"
"1139",2894989,"designation=Ride the Clwyds	mtb:type=crosscountry	name=Ride the Clwyds	ref=Going Backwards	route=mtb	source=GPS & Bing	type=route","Ride the Clwyds",NA,"Going Backwards","0","neutral"
"1140",2895492,"designation=Ride the Clwyds	mtb:type=crosscountry	name=Ride the Clwyds	ref=Killer Loop	route=mtb	source=GPS&Bing	type=route","Ride the Clwyds",NA,"Killer Loop","0","neutral"
"1141",2896329,"designation=Ride the Clwyds	mtb:type=crosscountry	name=Ride the Clwyds	ref=Loop de Loop	route=mtb	source=GPS & Bing	type=route","Ride the Clwyds",NA,"Loop de Loop","0","neutral"
"1142",2897676,"type=route	name=Festival Way	network=rcn	note=Goes from Bristol to Nailsea. Follows NCN33	route=bicycle","Festival Way","rcn",NA,"0","touring"
"1143",2901694,"designation=Ride the Clwyds	mtb:type=crosscountry	name=Ride the Clwyds	ref=Nercwys Easy Route	route=mtb	source=GPS & Bing	type=route","Ride the Clwyds",NA,"Nercwys Easy Route","0","neutral"
"1144",2901735,"designation=Ride the Clwyds	mtb:type=crosscountry	name=Ride the Clwyds	ref=Village Tour	route=mtb	source=GPS and Bing	type=route","Ride the Clwyds",NA,"Village Tour","0","neutral"
"1145",2901940,"alt_name=Farnborough - Southwood	name=Rushmoor Cycle Network [FS]	network=lcn	route=bicycle	type=route","Rushmoor Cycle Network [FS]","lcn",NA,"1","suggested"
"1146",2902348,"name=lough Lannagh trail	network=lcn	route=bicycle	type=route","lough Lannagh trail","lcn",NA,"1","suggested"
"1147",2912172,"network=lcn	ref=5	route=bicycle	type=route","Local cycle network 5","lcn","5","12","suggested"
"1148",2912213,"network=lcn	ref=2	route=bicycle	type=route","Local cycle network 2","lcn","2","0","suggested"
"1149",2913384,"mtb:type=crosscountry	name=Bike Swinley Blue	route=mtb	type=route","Bike Swinley Blue",NA,NA,"0","neutral"
"1150",2913385,"mtb:type=crosscountry	name=Bike Swinley Red	route=mtb	type=route","Bike Swinley Red",NA,NA,"0","neutral"
"1151",2913887,"network=ncn	ref=28	route=bicycle	type=route","National cycle network 28","ncn","28","55","continuous"
"1152",2918256,"name=Alton Water Loop	network=lcn	route=bicycle	type=route","Alton Water Loop","lcn",NA,"12","suggested"
"1153",2918922,"mtb:type=crosscountry	name=Swinley Green	route=mtb	type=route","Swinley Green",NA,NA,"0","neutral"
"1154",2919375,"name=Wexford Cycle Hub 2	network=rcn	ref=2	route=bicycle	type=route","Wexford Cycle Hub 2","rcn","2","36","touring"
"1155",2924632,"type=route	designation=Ride North Wales	name=Ride North Wales	network=lcn	ref=Brenig Loop	route=bicycle	source=GPS & Bing","Ride North Wales","lcn","Brenig Loop","58","suggested"
"1156",2926847,"designation=Ride North Wales	name=Ride North Wales	network=lcn	ref=Coastal Route	route=bicycle	source=GPS and Bing	type=route","Ride North Wales","lcn","Coastal Route","3","suggested"
"1157",2926869,"designation=Ride the Clwyds	mtb:type=crosscountry	name=Ride the Clwyds	ref=Over the Top	route=mtb	source=GPS and Bing	type=route","Ride the Clwyds",NA,"Over the Top","0","neutral"
"1158",2928123,"name=Teesside Park Access	network=lcn	route=bicycle	source=Signposted	type=route","Teesside Park Access","lcn",NA,"3","suggested"
"1159",2928255,"name=Regional Route 80	network=rcn	route=bicycle	source=Sustrans	type=route","Regional Route 80","rcn",NA,"0","touring"
"1160",2941541,"name=National Cycle Network Route 88	network=ncn	ref=88	route=bicycle	type=route","National Cycle Network Route 88","ncn","88","13","continuous"
"1161",2946666,"route=bicycle	type=route	description=Sheffield Local Cycle Network	network=lcn","Local cycle network","lcn",NA,"11","suggested"
"1162",2947208,"name=National Byway (Winchester loop)	network=lcn	operator=National Byway	ref=NB	route=bicycle	type=route","National Byway (Winchester loop)","lcn","NB","15","suggested"
"1163",2965375,"name=Saltburn Loop	network=lcn	ref=Saltburn	route=bicycle	type=route","Saltburn Loop","lcn","Saltburn","3","suggested"
"1164",2970595,"name=Reivers Kielder alternative	network=lcn	route=bicycle	type=route","Reivers Kielder alternative","lcn",NA,"5","suggested"
"1165",2972153,"name=Hadrian's Cycleway Loop	network=lcn	route=bicycle	type=route","Hadrian's Cycleway Loop","lcn",NA,"7","suggested"
"1166",2975602,"network=lcn	route=bicycle	type=route","Local cycle network","lcn",NA,"2","suggested"
"1167",2975858,"alt_name=Cycling Discoveries in North Hampshire	mtb:type=crosscountry	name=Cliddesden Duck Pond (Cycling Discoveries for Mountain Bikes in and Around North Hampshire)	operator=Hampshire County Council	ref=2: Cliddesden Duck Pond 	route=mtb	type=route	website=http://www3.hants.gov.uk/northhants.pdf","Cliddesden Duck Pond (Cycling Discoveries for Mountain Bikes in and Around North Hampshire)",NA,"2: Cliddesden Duck Pond ","0","neutral"
"1168",2978300,"name=Lanark to Biggar via Hyndford Bridge	network=lcn	route=bicycle	type=route","Lanark to Biggar via Hyndford Bridge","lcn",NA,"8","suggested"
"1169",2986634,"name=National Cycle Network 250	network=ncn	ref=250	route=bicycle	type=route","National Cycle Network 250","ncn","250","5","continuous"
"1170",2994819,"name=Rempstone Ride	network=lcn	route=bicycle	type=route","Rempstone Ride","lcn",NA,"0","suggested"
"1171",2995083,"name=Petit Tour de Manche	network=icn	route=bicycle	type=route","Petit Tour de Manche","icn",NA,"0","neutral"
"1172",2996849,"network=ncn	ref=451	route=bicycle	type=route","National cycle network 451","ncn","451","3","continuous"
"1173",3002763,"name=North East Cycle Route	network=lcn	ref=NE	route=bicycle	type=route","North East Cycle Route","lcn","NE","2","suggested"
"1174",3003096,"name=Midland Ave	network=lcn	route=bicycle	type=route","Midland Ave","lcn",NA,"4","suggested"
"1175",3003831,"network=lcn	route=bicycle	state=proposed	type=route	name=Dunbar LCN","Dunbar LCN","lcn",NA,"15","neutral"
"1176",3007086,"name=Muir of Ord to North Kessock via Blairdhu	network=lcn	route=bicycle	type=route","Muir of Ord to North Kessock via Blairdhu","lcn",NA,"13","suggested"
"1177",3008913,"network=ncn	ref=544	route=bicycle	type=route","National cycle network 544","ncn","544","20","continuous"
"1178",3017038,"network=ncn	route=bicycle	type=route","National cycle network","ncn",NA,"0","neutral"
"1179",3017039,"network=ncn	route=bicycle	type=route","National cycle network","ncn",NA,"0","neutral"
"1180",3017040,"network=ncn	route=bicycle	type=route","National cycle network","ncn",NA,"1","neutral"
"1181",3017170,"mtb:type=crosscountry	name=Basingstoke Off-Road Cycle Trail	network=Hampshire Off-Road Cycle Trails	route=mtb	source:network=sign	type=route","Basingstoke Off-Road Cycle Trail",NA,NA,"0","neutral"
"1182",3018207,"network=ncn	ref=(51)	route=bicycle	type=route","National cycle network (51)","ncn","(51)","0","continuous"
"1183",3018338,"mtb:type=crosscountry	name=Elorgarreg	route=mtb	source=GPS_airphoto	type=route	designation=Ride North Wales","Elorgarreg",NA,NA,"0","neutral"
"1184",3018363,"designation=Ride North Wales	mtb:type=crosscountry	name=Argae/Dam	route=mtb	source=GPS_airphoto	type=route","Argae/Dam",NA,NA,"0","neutral"
"1185",3018384,"designation=Ride North Wales	mtb:type=crosscountry	name=Alwen	route=mtb	source=GPS_airphoto	type=route","Alwen",NA,NA,"0","neutral"
"1186",3018569,"name=Judges' Ride	route=mtb	source=http://www.oxfordshire.gov.uk/cms/content/judges-ride	type=route","Judges' Ride",NA,NA,"0","neutral"
"1187",3018629,"designation=Ride North Wales	mtb:type=crosscountry	name=Taith Cylch	route=mtb	source=GPS_airphoto	type=route","Taith Cylch",NA,NA,"0","neutral"
"1188",3018633,"source=GPS_airphoto	type=route	designation=Ride North Wales	mtb:type=crosscountry	name=Fforest Link	route=mtb","Fforest Link",NA,NA,"0","neutral"
"1189",3018634,"designation=Ride North Wales	mtb:type=crosscountry	name=Brenig	route=mtb	source=GPS_airphoto	type=route","Brenig",NA,NA,"0","neutral"
"1190",3020518,"route=mtb	type=route","Anonymous bicycle route",NA,NA,"0","neutral"
"1191",3038398,"name=Enfys 1	network=lcn	ref=1	route=bicycle	type=route","Enfys 1","lcn","1","8","suggested"
"1192",3038407,"name=City Centre Hub	network=lcn	ref=CC	route=bicycle	type=route","City Centre Hub","lcn","CC","2","suggested"
"1193",3038615,"network=lcn	ref=10	route=bicycle	type=route","Local cycle network 10","lcn","10","1","suggested"
"1194",3038617,"network=lcn	ref=2	route=bicycle	type=route","Local cycle network 2","lcn","2","6","suggested"
"1195",3038643,"network=lcn	ref=3	route=bicycle	type=route","Local cycle network 3","lcn","3","11","suggested"
"1196",3045612,"mtb:type=crosscountry	name=Abbotstone Down Off-Road Cycle Trail	network=Hampshire Off-Road Cycle Trails	route=mtb	type=route","Abbotstone Down Off-Road Cycle Trail",NA,NA,"0","neutral"
